DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
08/04/2020,28002588956,Bought 0.998 T @ 29.9872,0.998,T,29.9872,,-29.92,,,,
08/04/2020,28003339911,Bought 0.435 VZ @ 57.8233,0.435,VZ,57.8233,,-25.18,,,,
08/04/2020,28003339906,QUALIFIED DIVIDEND (VZ),,VZ,,,25.18,,,,
08/04/2020,28002588955,QUALIFIED DIVIDEND (T),,T,,,29.92,,,,
08/03/2020,27973504254,Bought 0.03 SYK @ 191.6133,0.03,SYK,191.6133,,-5.75,,,,
08/03/2020,27973504234,QUALIFIED DIVIDEND (SYK),,SYK,,,5.75,,,,
07/22/2020,27742025049,QUALIFIED DIVIDEND (CSCO),,CSCO,,,18.00,,,,
07/16/2020,27650289953,Bought 8 ADP @ 145.9976,8,ADP,145.9976,0.00,-1167.98,,,,
07/16/2020,27649026206,Bought 0.069 O @ 57.9486,0.069,O,57.9486,,-3.99,,,,
07/16/2020,27649220339,Bought 0.64 BCE @ 42.0835,0.64,BCE,42.0835,,-26.93,,,,
07/16/2020,27649220338,QUALIFIED DIVIDEND (BCE),,BCE,,,26.93,,,,
07/16/2020,27649026182,ORDINARY DIVIDEND (O),,O,,,3.99,,,,
07/16/2020,27648751869,Bought 0.086 ITW @ 182.1022,0.086,ITW,182.1022,,-15.64,,,,
07/16/2020,27648751832,QUALIFIED DIVIDEND (ITW),,ITW,,,15.64,,,,
07/02/2020,27386507645,Bought 0.077 ADP @ 150.93,0.077,ADP,150.93,,-11.67,,,,
07/02/2020,27386507639,QUALIFIED DIVIDEND (ADP),,ADP,,,11.67,,,,
06/30/2020,27273584676,QUALIFIED DIVIDEND (UNP),,UNP,,,7.76,,,,
06/26/2020,27208198968,QUALIFIED DIVIDEND (NVDA),,NVDA,,,1.44,,,,
06/25/2020,27199502063,Bought 12 WEC @ 84.2876,12,WEC,84.2876,0.00,-1011.45,,,,
